Hmdx,Visibility (km),Wind Chill,air_temperature_c,barometric_pressure_kpa,bui,dc,dew_point_c,dmc,ffmc,fwi,isi,rain_mm,relative_humidity_pct,station,timestamp_utc,wind_direction_deg,wind_speed_kmh
,,-4.125,1.0083333333333333,,35.04626644866334,20.699999999999996,-0.6166666666666666,92.43133224331667,77.05360883875551,184.4307701202342,463.57361057135313,5.5,89.20833333333333,stanhope,2023-04-01,17.541666666666668,15.541666666666666
,,-6.8,1.9291666666666665,,56.833476731329995,47.37449999999999,-3.1333333333333333,94.66938365665,79.47514068534434,199.60363611022981,431.1235202337736,0.0,71.5,stanhope,2023-04-02,27.791666666666668,20.041666666666668
,,-10.583333333333334,-0.5,,59.61405828866333,49.83449999999999,-9.654166666666667,98.73229144331667,85.37378010522166,110.01012757095906,115.45911519350857,0.0,50.833333333333336,stanhope,2023-04-03,26.083333333333332,20.333333333333332
,,-1.5,3.0749999999999997,,83.08755697026332,77.21549999999998,-1.0666666666666667,106.5757848513167,81.61749465175727,138.04154613633708,140.78991104977277,0.0,74.75,stanhope,2023-04-04,17.217391304347824,11.166666666666666
,,-5.777777777777778,-1.0863636363636362,,97.4962349152815,94.22618181818179,-7.363636363636363,110.57644730368034,80.83778241876487,207.82750520471794,373.4436473461235,0.0,62.63636363636363,stanhope,2023-04-05,26.523809523809526,16.136363636363637
,,-4.7,0.6875,,97.83336466732997,94.47899999999994,-0.5916666666666667,111.25082333665006,75.79976073056605,264.021475146815,413.4432154394981,3.3,91.33333333333333,stanhope,2023-04-06,17.041666666666668,12.125
,,-8.0,3.9499999999999997,,128.42131960706328,131.3174999999999,-0.7583333333333333,116.8365980353167,80.44114478583128,242.90972341987182,349.87573004931625,0.0,72.91666666666667,stanhope,2023-04-07,27.708333333333332,19.791666666666668
,,-7.666666666666667,-1.5583333333333333,,139.77018005292993,144.4049999999999,-9.054166666666667,121.23090026465003,83.89731909064284,174.90442629666788,152.2583120890138,0.0,56.833333333333336,stanhope,2023-04-08,31.208333333333332,20.458333333333332
,,-6.818181818181818,-0.7041666666666666,,134.99101892439654,137.93849999999983,-8.358333333333333,123.20109462198337,83.99895978974618,137.00222432123113,97.77825549659576,0.0,57.458333333333336,stanhope,2023-04-09,26.0,12.458333333333334
,,,7.029166666666666,,165.4489862673299,172.23599999999985,-5.658333333333334,138.30093133665002,87.51137897053023,121.26379408644097,76.30497580137727,0.0,42.875,stanhope,2023-04-10,24.875,17.0
