station,timestamp_utc,rain_mm,wind_direction_deg,solar_radiation_w_m2,air_temperature_c
stanley_bridge,2025-12-01 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-02 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-03 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-04 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-05 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-06 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-07 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-08 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-09 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-10 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-11 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-12 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-13 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-14 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-15 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-16 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-17 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-18 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-19 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-20 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-21 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-22 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-23 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-24 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-25 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-26 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-27 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-28 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-29 00:00:00+00:00,0.0,,,
stanley_bridge,2025-12-30 00:00:00+00:00,0.0,,,
stanley_bridge,2026-01-01 00:00:00+00:00,0.0,85.63921568627451,0.625,-6.230948493609601
